ID;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Korrekte Antwort;Erklärung
1;Welche/r deutsche Teilnehmer/in der Olympischen Sommerspiele konnte bislang die meisten Goldmedaillen gewinnen?;Birgit Fischer;Reiner Klimke;Isabell Werth;Hans Günter Winkler;A;Mit acht Gold- und vier Silbermedaillen bei sechs Olympischen Spielen ist Birgit Fischer die erfolgreichste deutsche Olympionikin und die zweiterfolgreichste Olympionikin überhaupt
2;Welche Farbe hat das Trikot für den Führenden der Nachwuchswertung bei der Tour de France?;weiß;rosa;blau;schwarz;A;Die Nachwuchswertung der Tour de France wird seit 1975 ausgetragen. Gewinner ist der beste Fahrer unter 25 in der Gesamtwertung. Der jeweilige Führende wird nach einer Etappe mit einem weißen Wertungstrikot ausgezeichnet.
3;Welcher Spieler konnte die Auszeichnung des Welttorhüters in den 90ern am häuﬁgsten gewinnen?;José Luis Chilavert;Walter Zenga;Oliver Kahn;Peter Schmeichel;A;In den Jahren 1995, 1997 und 1998 wurde der paraguayische Keeper José Luis Chilavert dreimal zum Welt-Torhüter gewählt. In seinen 74 Länderspielen für Paraguay erzielte er zudem ganze acht Tore.
4;Welcher dieser Spieler wurde nie WM-Torschützenkönig?;Jürgen Klinsmann;Gary Lineker;Ronaldo;James Rodriguez;A;Zwar holte sich Jürgen Klinsmann zahlreiche Auszeichnungen wie etwa die des Welttorjägers 1995, WM-Torschützenkönig wurde er jedoch nie.
5;Welcher Skispringer erreichte die bislang meisten Gesamtsiege der Vierschanzentournee?;Janne Ahonnen;Jens Weißﬂog;Gregor Schlierenzauer;Matti Nykänen;A;In seinen 18 Teilnahmen bei der Vierschanzentournee, schaffte es Janne Ahonen bisher als einziger Skispringer 5x den Gesamtsieg zu holen. 1998/99 führte er die Gesamtwertung an, ohne ein einziges Springen gewonnen zu haben.
6;Wie ist die Reihenfolge eines klassischen Triathlons?;Schwimmen - Radfahren - Laufen;Laufen - Radfahren - Schwimmen;Radfahren - Laufen - Schwimmen;Laufen - Schwimmen- Radfahren;A;Die Reihenfolg eines Triathlons lautet: Schwimmen, Radfahren und Laufen. Den ersten organisierten Triathlon gab es 1974 in San Diego mit 46 Teilnehmern.
7;Welche ist die bislang erfolgreichste Fahrernation der Formel 1?;Vereinigtes Königreich;Deutschland;Brasilien;Italien;A;Das Vereinigte Königreich stellte bislang 10 verschiedene Formel-1-Weltmeister und ist damit unangefochtener Spitzenreiter bei den Fahrernationen. Zuletzt gelang dies Lewis Hamilton, der zugleich auch britischer Rekordweltmeister ist.
8;Welche Disziplin zählt NICHT zum olympischen Zehnkampf?;800-Meter-Lauf;Weitsprung;110 Meter Hürden;Stabhochsprung;A;Der 800-Meter-Lauf kommt nicht im Zehnkampf vor. Die Disziplinen lauten: 100- Meter-Lauf, Weitsprung, Kugelstoß, Hochsprung, 400-Meter-Lauf, 110-Meter- Hürden-Lauf, Diskuswurf, Stabhochsprung, Speerwurf, 1500-Meter-Lauf
9;Welche Mannschaft liegt aktuell hinter dem FC Bayern München auf Platz 2 der Ewigen Bundesligatabelle?;Werder Bremen;Hamburger SV;Borussia Dortmund;VFB Stuttgart;A;Werder Bremen ist Gründungsmitglied der Bundesliga und gehörte dieser mit Ausnahme der Spielzeit 1980/81 durchgehend an. Nach der Saison 2015/16 konnte Werder den HSV vom zweiten Platz der Ewigen Bundesligatabelle verdrängen.
10;Wie bezeichnet man das gefürchtete Zittern des Körpers bei Biathleten am Schießstand?;Nähmaschine;Zitteraal;Wackeldackel;Schüttelblick;A;"Das Zittern des Körpers nennt sich ""Nähmaschine"" und entsteht, wenn Biathleten am Schießstand zu lange warten und deshalb der Puls unter eine bestimmte Frequenz fällt."
11;"In welcher Spiele-Serie ist ""Link"" die Hauptﬁgur?";The Legend of Zelda;Halo;Far Cry;Uncharted;A;"Link spielt die zentrale Rolle in der Videospiel-Serie ""The Legend of Zelda"". Schon seit 1986 versucht er in verschiedenen Spielen Prinzessin Zelda vor Dämon Ganon zu retten."
12;In welchem Jahr erschien das erste iPhone?;2007;2003;2010;2009;A;Die erste iPhone-Generation wurde am 9. Januar 2007 auf der Macworld Conference & Expo in San Francisco von Steve Jobs vorgestellt
13;Wie nennt sich der zeitweise Ersatz für das normale Google-Logo bei besonderen Ereignissen?;Google Doodle;Google Drive;Google Doc;Google Sticker;A;Ein Google Doodle („Gekritzel“) ist der Ersatz des gewöhnlichen Logos auf der Webseite der Suchmaschine. Das erste Google Doodle erschien 1998.
14;Welches ist das bislang größte LEGO Set mit den meisten Bauteilen?;LEGO Star Wars UCS Millennium Falcon;Big Ben;Star Wars Todesstern;Taj Mahal;A;Die Neuauﬂage des UCS Millennium Falcon mit der Setnummer 75192 umfasst ganze 7.541 Teile und ist damit bislang unerreicht.
15;Wen heiratete Großbritanniens Prinz William im Jahr 2011?;Kate Middleton;Meghan Markle;Geri Halliwell;Oprah Winfrey;A;Am 29. April 2011 heiratete Prinz William die Unternehmerstochter Catherine „Kate“ Middleton in der Westminster Abbey in London.
16;"Welcher dieser Schauspieler spielt ""Iron Man"" in zahlreichen Comicverﬁlmungen?";Robert Downey Jr.;Tobey Maguire;Chris Hemsworth;Mark Ruffalo;A;"2008 übernahm Robert Downey Jr. erstmals die Hauptrolle in der Comic-Verﬁlmung ""Iron Man"". Während er im ersten Teil eine Gage von 500.000 US$ erhielt, bekamer für Teil 2 bereits 10 Mio. US$."
17;Von welchem Unternehmen wurde Whatsapp im Februar 2014 aufgekauft?;Facebook;Sony;Twitter;Google;A;Am 19. Februar 2014 kaufte das US-Unternehmen Facebook Inc. WhatsApp Inc. für insgesamt 19 Milliarden US-Dollar.
